gene_id	group
ENSG00000232701	RPP
ENSG00000233873	RPP
ENSG00000229865	RPP
ENSG00000237109	RPP
ENSG00000225289	RPP
ENSG00000234227	RPP
ENSG00000237924	RPP
ENSG00000233291	RPP
ENSG00000231981	RPP
ENSG00000230871	RPP
ENSG00000228501	RPP
ENSG00000234354	RPP
ENSG00000236860	RPP
ENSG00000225823	RPP
ENSG00000174418	RPP
ENSG00000225239	RPP
ENSG00000260615	RPP
ENSG00000239200	RPP
ENSG00000240954	RPP
ENSG00000240179	RPP
ENSG00000243855	RPP
ENSG00000258640	RPP
ENSG00000237450	RPP
ENSG00000240463	RPP
ENSG00000241582	RPP
ENSG00000243824	RPP
ENSG00000241052	RPP
ENSG00000256243	RPP
ENSG00000240392	RPP
ENSG00000259105	RPP
ENSG00000243730	RPP
ENSG00000241984	RPP
ENSG00000244053	RPP
ENSG00000214903	RPP
ENSG00000242417	RPP
ENSG00000244270	RPP
ENSG00000226132	RPP
ENSG00000239199	RPP
ENSG00000213641	RPP
ENSG00000177350	RPP
ENSG00000243388	RPP
ENSG00000239510	RPP
ENSG00000242135	RPP
ENSG00000270912	RPP
ENSG00000258613	RPP
ENSG00000180662	RPP
ENSG00000258618	RPP
ENSG00000242941	RPP
ENSG00000242293	RPP
ENSG00000242071	RPP
ENSG00000177776	RPP
ENSG00000241081	RPP
ENSG00000239272	RPP
ENSG00000239438	RPP
ENSG00000271705	RPP
ENSG00000241891	RPP
ENSG00000242571	RPP
ENSG00000240914	RPP
ENSG00000240051	RPP
ENSG00000232573	RPP
ENSG00000230988	RPP
ENSG00000213176	RPP
ENSG00000259535	RPP
ENSG00000242837	RPP
ENSG00000244691	RPP
ENSG00000239365	RPP
ENSG00000196183	RPP
ENSG00000242085	RPP
ENSG00000223877	RPP
ENSG00000241061	RPP
ENSG00000228992	RPP
ENSG00000256338	RPP
ENSG00000205871	RPP
ENSG00000234797	RPP
ENSG00000240821	RPP
ENSG00000243404	RPP
ENSG00000242634	RPP
ENSG00000235420	RPP
ENSG00000242276	RPP
ENSG00000243007	RPP
ENSG00000240366	RPP
ENSG00000241890	RPP
ENSG00000213307	RPP
ENSG00000243711	RPP
ENSG00000237550	RPP
ENSG00000241362	RPP
ENSG00000225193	RPP
ENSG00000241562	RPP
ENSG00000219274	RPP
ENSG00000219027	RPP
ENSG00000262959	RPP
ENSG00000220793	RPP
ENSG00000229917	RPP
ENSG00000241641	RPP
ENSG00000242307	RPP
ENSG00000215003	RPP
ENSG00000241067	RPP
ENSG00000228071	RPP
ENSG00000239840	RPP
ENSG00000243609	RPP
ENSG00000244551	RPP
ENSG00000260031	RPP
ENSG00000240760	RPP
ENSG00000243988	RPP
ENSG00000260965	RPP
ENSG00000242423	RPP
ENSG00000244043	RPP
ENSG00000224631	RPP
ENSG00000241808	RPP
ENSG00000240435	RPP
ENSG00000241334	RPP
ENSG00000244378	RPP
ENSG00000240043	RPP
ENSG00000242176	RPP
ENSG00000244485	RPP
ENSG00000243101	RPP
ENSG00000244097	RPP
ENSG00000244283	RPP
ENSG00000213876	RPP
ENSG00000240480	RPP
ENSG00000241654	RPP
ENSG00000242692	RPP
ENSG00000244753	RPP
ENSG00000230897	RPP
ENSG00000226156	RPP
ENSG00000234324	RPP
ENSG00000243686	RPP
ENSG00000233979	RPP
ENSG00000215030	RPP
ENSG00000228000	RPP
ENSG00000237382	RPP
ENSG00000189343	RPP
ENSG00000228331	RPP
ENSG00000244582	RPP
ENSG00000239223	RPP
ENSG00000213664	RPP
ENSG00000240873	RPP
ENSG00000263266	RPP
ENSG00000240494	RPP
ENSG00000243053	RPP
ENSG00000239256	RPP
ENSG00000240531	RPP
ENSG00000240074	RPP
ENSG00000240125	RPP
ENSG00000240828	RPP
ENSG00000267634	RPP
ENSG00000204652	RPP
ENSG00000213326	RPP
ENSG00000242067	RPP
ENSG00000243521	RPP
ENSG00000187504	RPP
ENSG00000233380	RPP
ENSG00000243058	RPP
ENSG00000241913	RPP
ENSG00000213228	RPP
ENSG00000227694	RPP
ENSG00000239527	RPP
ENSG00000256358	RPP
ENSG00000213180	RPP
ENSG00000213179	RPP
ENSG00000243514	RPP
ENSG00000242931	RPP
ENSG00000267355	RPP
ENSG00000213128	RPP
ENSG00000232083	RPP
ENSG00000240270	RPP
ENSG00000232938	RPP
ENSG00000240364	RPP
ENSG00000243720	RPP
ENSG00000235552	RPP
ENSG00000242058	RPP
ENSG00000239490	RPP
ENSG00000267752	RPP
ENSG00000267301	RPP
ENSG00000243925	RPP
ENSG00000243516	RPP
ENSG00000175886	RPP
ENSG00000267664	RPP
ENSG00000239780	RPP
ENSG00000239689	RPP
ENSG00000215457	RPP
ENSG00000242945	RPP
ENSG00000242320	RPP
ENSG00000239659	RPP
ENSG00000224161	RPP
ENSG00000242060	RPP
ENSG00000243256	RPP
ENSG00000241088	RPP
ENSG00000237314	RPP
ENSG00000264054	RPP
ENSG00000214255	RPP
ENSG00000244229	RPP
ENSG00000213726	RPP
ENSG00000240846	RPP
ENSG00000239524	RPP
ENSG00000268785	RPP
ENSG00000269228	RPP
ENSG00000242636	RPP
ENSG00000269244	RPP
ENSG00000239830	RPP
ENSG00000267119	RPP
ENSG00000231361	RPP
ENSG00000178464	RPP
ENSG00000240616	RPP
ENSG00000213253	RPP
ENSG00000225067	RPP
ENSG00000243455	RPP
ENSG00000241464	RPP
ENSG00000240522	RPP
ENSG00000242291	RPP
ENSG00000236312	RPP
ENSG00000241282	RPP
ENSG00000240231	RPP
ENSG00000242100	RPP
ENSG00000242325	RPP
ENSG00000239988	RPP
ENSG00000243864	RPP
ENSG00000232429	RPP
ENSG00000239253	RPP
ENSG00000249987	RPP
ENSG00000186008	RPP
ENSG00000257074	RPP
ENSG00000239210	RPP
ENSG00000243297	RPP
ENSG00000244253	RPP
ENSG00000243581	RPP
